"","donor","cell_type1","total_features","cell_type","species","dataset","species_donor"
"mouse1_lib1.final_cell_0086",1,"beta",1171,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0087",1,"ductal",1991,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0088",1,"ductal",1879,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0089",1,"beta",1599,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0090",1,"ductal",2142,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0091",1,"delta",1952,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0092",1,"endothelial",1661,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0093",1,"beta",1278,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0094",1,"beta",1189,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0095",1,"ductal",1905,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0096",1,"delta",1418,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0097",1,"beta",1623,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0098",1,"ductal",1579,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0099",1,"ductal",1795,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0100",1,"endothelial",1640,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0101",1,"beta",1215,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0102",1,"endothelial",1489,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0103",1,"beta",945,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0104",1,"ductal",1873,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0105",1,"quiescent_stellate",1690,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0106",1,"beta",1241,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0107",1,"quiescent_stellate",1928,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0108",1,"beta",1004,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0109",1,"beta",1198,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0110",1,"quiescent_stellate",1605,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0111",1,"delta",1737,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0112",1,"macrophage",1531,"immune","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0113",1,"beta",1220,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0114",1,"beta",1089,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0115",1,"endothelial",1783,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0116",1,"macrophage",1348,"immune","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0117",1,"beta",945,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0118",1,"beta",1344,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0119",1,"beta",1395,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0120",1,"endothelial",2181,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0121",1,"beta",1261,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0122",1,"delta",1232,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0123",1,"beta",1047,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0124",1,"macrophage",1479,"immune","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0125",1,"beta",1336,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0126",1,"quiescent_stellate",1529,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0127",1,"ductal",1869,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0128",1,"beta",1285,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0129",1,"beta",900,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0130",1,"beta",1225,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0131",1,"beta",858,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0132",1,"beta",1337,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0133",1,"ductal",1641,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0134",1,"beta",961,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0135",1,"ductal",1980,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0136",1,"delta",872,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0137",1,"beta",777,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0138",1,"beta",1089,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0139",1,"alpha",1211,"alpha","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0140",1,"ductal",1801,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0141",1,"beta",741,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0142",1,"beta",1385,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0143",1,"beta",1224,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0144",1,"beta",1040,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0145",1,"endothelial",1700,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0146",1,"delta",829,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0147",1,"beta",768,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0148",1,"beta",955,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0149",1,"beta",1022,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0150",1,"beta",1015,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0151",1,"ductal",1693,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0152",1,"beta",948,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0153",1,"ductal",1720,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0154",1,"beta",987,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0155",1,"ductal",1764,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0156",1,"delta",1146,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0157",1,"endothelial",1487,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0158",1,"beta",841,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0159",1,"ductal",1083,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0160",1,"macrophage",1462,"immune","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0161",1,"delta",1092,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0162",1,"immune_other",1311,"immune","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0163",1,"beta",1221,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0164",1,"beta",911,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0165",1,"ductal",1126,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0166",1,"delta",811,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0167",1,"gamma",1042,"gamma","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0168",1,"beta",1027,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0169",1,"beta",994,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0170",1,"beta",1022,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0171",1,"beta",1223,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0172",1,"beta",879,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0173",1,"beta",1020,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0174",1,"beta",869,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0175",1,"ductal",1319,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0176",1,"ductal",1546,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0177",1,"beta",1083,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0178",1,"ductal",1174,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0179",1,"beta",1088,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0180",1,"beta",991,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0181",1,"beta",795,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0182",1,"endothelial",1512,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0183",1,"ductal",1756,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0184",1,"ductal",1449,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0185",1,"ductal",1654,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0186",1,"beta",989,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0187",1,"endothelial",1395,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0188",1,"endothelial",1292,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0189",1,"gamma",807,"gamma","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0190",1,"beta",1103,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0191",1,"beta",1287,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0192",1,"ductal",1394,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0193",1,"ductal",927,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0194",1,"ductal",1435,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0195",1,"quiescent_stellate",1375,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0196",1,"beta",968,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0197",1,"beta",1095,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0198",1,"beta",877,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0199",1,"beta",999,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0200",1,"ductal",1068,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0201",1,"ductal",1312,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0202",1,"ductal",953,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0203",1,"endothelial",1238,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0204",1,"endothelial",1356,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0205",1,"delta",927,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0206",1,"beta",820,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0207",1,"quiescent_stellate",1353,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0208",1,"endothelial",1451,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0209",1,"beta",911,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0210",1,"ductal",777,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0211",1,"beta",774,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0212",1,"delta",753,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0213",1,"beta",908,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0214",1,"beta",1016,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0215",1,"ductal",1565,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0216",1,"beta",740,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0217",1,"delta",815,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0218",1,"beta",996,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0219",1,"beta",860,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0220",1,"delta",840,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0221",1,"ductal",856,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0222",1,"activated_stellate",1010,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0223",1,"beta",836,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0224",1,"beta",1038,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0225",1,"delta",811,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0226",1,"delta",812,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0227",1,"ductal",1094,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0228",1,"gamma",772,"gamma","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0229",1,"beta",908,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0230",1,"beta",890,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0231",1,"gamma",856,"gamma","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0232",1,"ductal",1588,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0233",1,"endothelial",1187,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0234",1,"quiescent_stellate",1027,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0235",1,"endothelial",1205,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0236",1,"ductal",1005,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0237",1,"quiescent_stellate",1122,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0238",1,"ductal",1186,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0239",1,"ductal",799,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0240",1,"beta",788,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0241",1,"beta",1020,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0242",1,"delta",909,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0243",1,"beta",838,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0244",1,"ductal",868,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0245",1,"delta",761,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0246",1,"delta",742,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0247",1,"beta",966,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0248",1,"beta",920,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0249",1,"ductal",1304,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0250",1,"ductal",1151,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0251",1,"endothelial",1249,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0252",1,"beta",779,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0253",1,"quiescent_stellate",1268,"stellate","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0254",1,"delta",834,"delta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0255",1,"ductal",973,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0256",1,"ductal",934,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0257",1,"beta",781,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0258",1,"ductal",889,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0259",1,"beta",937,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0260",1,"ductal",814,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0261",1,"ductal",893,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0262",1,"ductal",947,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0263",1,"B_cell",866,"immune","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0264",1,"ductal",1017,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0265",1,"T_cell",862,"immune","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0266",1,"ductal",1194,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0267",1,"ductal",973,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0268",1,"beta",816,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0269",1,"ductal",1007,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0270",1,"beta",809,"beta","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0271",1,"ductal",888,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0272",1,"ductal",857,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0273",1,"ductal",842,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0274",1,"ductal",807,"ductal","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0275",1,"endothelial",915,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0276",1,"endothelial",794,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib1.final_cell_0277",1,"ductal",749,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0001",1,"beta",2999,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0002",1,"schwann",3205,"schwann","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0003",1,"delta",2614,"delta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0004",1,"alpha",2543,"alpha","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0005",1,"beta",2606,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0006",1,"beta",2620,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0007",1,"ductal",3184,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0008",1,"beta",3160,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0009",1,"alpha",2337,"alpha","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0010",1,"schwann",2979,"schwann","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0011",1,"ductal",3417,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0012",1,"ductal",2993,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0013",1,"ductal",3266,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0014",1,"quiescent_stellate",2438,"stellate","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0015",1,"beta",1861,"beta","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0016",1,"ductal",3022,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0017",1,"ductal",3149,"ductal","mouse","inDrop","mouse1"
"mouse1_lib2.final_cell_0018",1,"endothelial",2677,"endothelial","mouse","inDrop","mouse1"
